epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.6283409840022817,0.6324705882352941,0.6324304713153734,0.5295491824150086,0.7250666666666666,0.7219820263582253
2,0.47003470431776606,0.773364705882353,0.7733465861575315,0.4282523535251617,0.8021333333333334,0.8014120477690205
3,0.355540716573596,0.8456941176470588,0.8456934858126068,0.44005090566476185,0.8053333333333333,0.8023594134677169
4,0.2833836364591823,0.8838117647058824,0.8838117068127536,0.4008791035811106,0.8296,0.8291187863508109
5,0.23130140693512033,0.9072470588235294,0.9072468351375579,0.3905829964677493,0.8394666666666667,0.8392094017094016
6,0.15745832617423114,0.9404705882352942,0.9404704921311862,0.40180808465480805,0.8469333333333333,0.8469280649374884
